Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_err_C6,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,rel_flux_SNR_C6,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6,N_Src_Pixels_C2,N_Sky_Pixels_C2,N_Src_Pixels_C3,N_Sky_Pixels_C3,N_Src_Pixels_C4,N_Sky_Pixels_C4,N_Src_Pixels_C5,N_Sky_Pixels_C5,N_Src_Pixels_C6,N_Sky_Pixels_C6
aligned_CoRoT-1a001_out.FIT,1,0,59790.704985532,2459790.704985532,2459790.704965278,2459790.708494511,2459790.709242831,1.073194635,68.685496406,22.209453936,3.500000000,0,0,10.466634318,17,29,44,0.111536293,0.163312027,0.227157652,0.550092808,0.172214133,0.208773189,0.001287452,0.001607174,0.001823690,0.003358182,0.001654744,0.001784138,86.633372833,101.614432408,124.559344704,163.806746805,104.072965057,117.016290570,247739.675545198,769.332827172,1632.037827120,909.903138283,1632.537827120,1622.596861717,19.451806254,1.383033955,27631.965044101,907.920276887,307.193497565,89.949706824,268.307250977,30.434351724,56.352249819,3002,11.695112389,17.299942424,15.822641263,18.777243585,86.927998412,0.970919526,1564.281910360,977.867365095,1564.781910360,1554.632634905,19.452649400,1.390653178,34779.033971971,322.702349954,107.774343685,414.435729980,38.306264170,58.137263735,8.837456263,15.843715870,13.340317545,18.347114196,79.532635226,0.891030642,1168.992223525,1227.094877394,1169.492223525,1305.405122606,19.457202540,1.413093034,45858.788285131,332.746200340,137.819119312,518.793518066,50.509708234,54.651597813,9.933825770,17.029368286,15.510496365,18.548240207,72.957921795,0.954339956,1073.433563570,796.217902220,1073.933563570,1736.282097780,19.457079838,1.345114453,87917.196356744,395.267147299,222.424749837,857.640991211,96.833608187,57.363161932,10.577320530,16.187651278,14.170729345,18.204573210,85.059882424,0.937960428,1287.518191695,452.940179037,1288.018191695,2079.559820963,19.454095239,1.301784383,36396.313730393,328.559758151,110.775324206,390.529968262,40.087565678,59.435955228,10.703478535,17.178600170,15.941011519,18.416188821,80.877417430,0.977220488,1180.903687622,682.605057719,1181.403687622,1849.894942281,19.455727694,1.332146877,42788.343200959,335.899577325,127.384331775,432.112274170,47.127863856,58.661895736,11.052612423,16.566185760,15.348508941,17.783862580,87.573432232,0.978466309,907.920276887,2909,907.920276887,2975,907.920276887,2930,907.920276887,2801,907.920276887,2899
aligned_CoRoT-1a002_out.FIT,2,0,59790.703133680,2459790.703133680,2459790.703113426,2459790.706642515,2459790.707390835,1.068420290,69.353758976,22.209453936,3.500000000,0,0,10.569010066,17,29,44,0.093823783,0.181550396,0.212214391,0.543834273,0.166186477,0.214352554,0.001290454,0.001706010,0.001803050,0.003385293,0.001643390,0.001813576,72.706025030,106.418122326,117.697475599,160.646152141,101.124214881,118.193288587,239794.717088730,755.951163680,1634.212560810,910.240015801,1634.712560810,1622.259984199,19.451792260,1.383300050,22498.447525774,907.920276887,301.206076155,74.694534098,320.516418457,24.780201631,57.414331666,2958,11.626356142,16.369445616,15.433845278,17.305045954,301.632799763,0.935850350,1565.527497708,977.788816282,1566.027497708,1554.711183718,19.452642932,1.390783461,36845.509069041,323.242595270,113.987171271,427.455078125,40.582317641,56.933722846,6.441049950,16.376974209,15.406639083,17.347309335,69.502869459,0.975523071,1169.787157816,1226.301530268,1170.287157816,1306.198469732,19.457196519,1.412981437,41979.282111192,325.981694773,128.778035038,380.474670410,46.236749173,53.936027002,10.708557631,16.246267687,15.092191954,17.400343420,276.016265742,0.979109657,1074.699303085,795.442209908,1075.199303085,1737.057790092,19.457075569,1.345231979,84470.585978592,390.646582429,216.232753025,735.285766602,93.037448473,57.193920940,12.330492035,15.848822095,14.796172190,16.901471999,277.951868585,0.981089184,1288.816456531,453.279797026,1289.316456531,2079.220202974,19.454097590,1.302313318,34171.755646799,318.121612005,107.417271752,354.305664062,37.637396715,56.476985878,11.381542959,17.066209244,16.371007185,17.761411304,69.385732664,0.988304146,1182.344086547,682.664864507,1182.844086547,1849.835135493,19.455724972,1.332470476,42327.584283105,326.965149148,129.455950866,388.656372070,46.620375556,54.404528604,10.926061681,17.066920106,17.152875685,16.980964527,318.987047123,0.994728137,907.920276887,2961,907.920276887,2922,907.920276887,2927,907.920276887,2974,907.920276887,2973
aligned_CoRoT-1a003_out.FIT,3,0,59790.703365162,2459790.703365162,2459790.703344908,2459790.706874014,2459790.707622335,1.069006841,69.270226029,22.209453936,3.500000000,0,0,15.592621010,17,29,44,0.101745886,0.159883493,0.230340751,0.499936157,0.183776495,0.229086512,0.001359543,0.001685139,0.001948419,0.003257289,0.001756348,0.001960234,74.838286933,94.878507487,118.219334786,153.482277028,104.635581168,116.866908291,234179.756859066,764.889411999,1629.288688001,909.480842783,1629.788688001,1623.019157217,19.451832498,1.382937456,23826.826810841,907.920276887,308.719296268,77.179583845,279.659790039,26.243302873,59.919370865,2909,18.673457406,17.290304772,16.810048987,17.770560556,48.518508986,0.794702910,1561.090612150,976.786210173,1561.590612150,1555.713789827,19.452678280,1.390461331,32280.377991177,321.627368098,100.365768566,384.131225586,35.554198769,60.054754623,15.068890419,16.851087517,16.552940515,17.149234518,47.226880657,0.792480248,1166.479554906,1226.859825936,1166.979554906,1305.640174064,19.457227241,1.413133792,43842.440435067,335.351022392,130.735967710,428.138153076,48.288865830,57.335391924,13.074406096,18.294368833,17.892111930,18.696625736,50.731749039,0.951086811,1070.988939152,795.642300548,1071.488939152,1736.857699452,19.457106205,1.345152018,78053.273897423,387.102083844,201.634858491,768.799377441,85.969303566,59.923134889,13.190856047,17.255053632,16.586160690,17.923946574,50.197293249,0.815907096,1284.643340033,452.288985837,1285.143340033,2080.211014163,19.454127246,1.301750833,36355.456609856,323.248808869,112.468957696,324.127471924,40.042564898,57.226434625,16.753402837,18.856650198,19.128328373,18.584972022,42.054882243,0.921191950,1178.096174011,681.872695781,1178.596174011,1850.627304219,19.455757545,1.332126504,43648.207925542,338.841444789,128.816024712,399.600646973,48.074934591,60.013861187,16.794713257,18.916145816,18.439121869,19.393169763,51.144498627,0.943920374,907.920276887,2993,907.920276887,2871,907.920276887,2857,907.920276887,2934,907.920276887,2984
aligned_CoRoT-1a004_out.FIT,4,0,59790.703596643,2459790.703596643,2459790.703576389,2459790.707105514,2459790.707853834,1.069596303,69.186693267,22.209453936,3.500000000,0,0,11.856937631,17,29,44,0.098557537,0.171332960,0.220241619,0.503920070,0.189572595,0.217737657,0.001296591,0.001661471,0.001854770,0.003193571,0.001729476,0.001867762,76.012810169,103.121258071,118.743351688,157.792045059,109.612757146,116.576786336,243414.541213611,772.820890845,1633.563035687,914.879742277,1634.063035687,1617.620257723,19.451807836,1.383881672,23990.337628754,907.920276887,306.280374722,78.328027549,271.177337646,26.423396679,58.436360053,2891,6.872258119,17.636942940,15.367170517,19.906715362,66.378897741,0.860909445,1564.459556401,981.137248333,1564.959556401,1551.362751667,19.452661024,1.391211839,35604.678884004,323.657405428,110.007304906,318.406738281,39.215644578,58.070894162,13.545502616,16.927468510,15.419521773,18.435415248,60.187639898,0.877802494,1169.916393718,1230.263185633,1170.416393718,1302.236814367,19.457209743,1.413794308,43933.932255633,336.785342828,130.450844109,376.392852783,48.389636595,58.343522418,11.132111051,17.350661046,16.136654760,18.564667332,57.927491356,0.898031525,1074.370704383,799.107676446,1074.870704383,1733.392323554,19.457087645,1.345900326,81561.164821039,393.482462323,207.280305047,629.314758301,89.832958793,61.102064427,13.184952245,17.136076680,16.017972660,18.254180699,58.300986644,0.915790129,1287.712710895,456.906799462,1288.212710895,2075.593200538,19.454110389,1.302736814,38791.013163924,328.090986337,118.232486655,373.704376221,42.725131437,57.684876406,12.229740120,18.094033219,16.950235421,19.237831018,62.037929883,0.949487610,1181.797481661,686.634430522,1182.297481661,1845.865569478,19.455737713,1.333092496,43523.752089011,341.469621815,127.460099840,368.333129883,47.937856657,61.164132345,14.177061636,17.777666251,17.079014215,18.476318287,53.368332836,0.925734496,907.920276887,2932,907.920276887,2929,907.920276887,2847,907.920276887,2903,907.920276887,2890
aligned_CoRoT-1a005_out.FIT,5,0,59790.703828125,2459790.703828125,2459790.703807870,2459790.707337013,2459790.708085334,1.070188685,69.103160355,22.209453936,3.500000000,0,0,11.733211476,17,29,44,0.095329242,0.169962172,0.218516434,0.559858171,0.171507631,0.204940409,0.001308039,0.001676150,0.001866165,0.003497734,0.001681298,0.001805860,72.879500677,101.400334342,117.093831039,160.063090200,102.009048778,113.486335043,244590.402861863,779.710088917,1632.115954599,915.368642257,1632.615954599,1617.131357743,19.451817592,1.383858361,23316.617658351,907.920276887,311.179737061,74.929742786,302.978454590,25.681349180,61.346375245,2854,8.279859909,16.336446060,14.934601151,17.738290968,285.626698930,0.960284421,1562.401587822,982.304645392,1562.901587822,1550.195354608,19.452678112,1.391256607,35532.017266014,329.177295697,107.941883388,423.479583740,39.135613743,61.587491704,13.726616649,14.646119068,14.230961317,15.061276819,305.184326404,0.971571726,1167.971876653,1230.725680130,1168.471876653,1301.774319870,19.457223293,1.413665220,43862.373242897,341.862897404,128.303988459,473.655792236,48.310820189,61.251232899,12.360579749,15.622506724,15.351808001,15.893205448,311.038176058,0.936840954,1072.386352371,800.090671182,1072.886352371,1732.409328818,19.457103991,1.345819368,87787.427213528,400.723552097,219.072292492,786.843872070,96.690678079,61.004993706,12.804672025,15.674474628,14.774464500,16.574484755,296.392431792,0.964184370,1286.701602677,457.931748776,1287.201602677,2074.568251224,19.454120188,1.302755640,35807.808182371,329.437047935,108.693932291,411.085021973,39.439374903,61.162891829,10.257859287,16.620940268,15.932154168,17.309726369,296.662962920,0.980809027,1180.156679525,687.349200418,1180.656679525,1845.150799582,19.455750814,1.333011363,41600.776957052,337.063430794,123.421211429,449.519073486,45.819856673,60.139357667,12.969681239,16.457514159,15.496916234,17.418112084,297.558361657,0.958618078,907.920276887,3020,907.920276887,2919,907.920276887,2906,907.920276887,2950,907.920276887,2864
aligned_CoRoT-1a006_out.FIT,6,0,59790.704059606,2459790.704059606,2459790.704039352,2459790.707568513,2459790.708316834,1.070783993,69.019627461,22.209453936,3.500000000,0,0,11.831066234,17,29,44,0.101024366,0.173814832,0.210640360,0.560628038,0.161185546,0.219346765,0.001282161,0.001639544,0.001764042,0.003401810,0.001605056,0.001821372,78.792259558,106.014138376,119.407800485,164.802880770,100.423633300,120.429424253,250948.075129028,777.080463095,1632.869617316,912.438748898,1633.369617316,1620.061251102,19.451809354,1.383523552,25351.870182634,907.920276887,312.031949063,81.247674345,295.337219238,27.923013538,60.265971894,2889,NaN,16.120092265,16.562130356,15.678054173,34.152607405,0.978022343,1563.564348254,979.155766477,1564.064348254,1553.344233523,19.452664050,1.390906104,37159.606675799,328.446201899,113.137574619,393.626190186,40.928270490,59.437297228,12.460544522,15.767649963,15.196145812,16.339154114,59.855590067,0.978664022,1168.951814643,1228.011728079,1169.451814643,1304.488271921,19.457207265,1.413380008,43662.672014870,334.482734584,130.537894786,453.886932373,48.090865604,57.355026101,11.117073731,15.560473183,15.807605709,15.313340657,39.203052750,0.975032366,1073.493593428,797.411187603,1073.993593428,1735.088812397,19.457086972,1.345701089,90148.660411912,399.478005856,225.666142041,890.999450684,99.291383513,58.263011620,10.835942709,15.657918905,15.613478813,15.702358997,46.428865254,0.987037234,1287.158358963,455.096723111,1287.658358963,2077.403276889,19.454113636,1.302561919,34834.400583691,327.756475953,106.281349537,354.882995605,38.367245969,60.567227989,12.431196751,16.187614591,15.904524044,16.470705137,72.173472748,0.998148315,1180.892330405,685.229588952,1181.392330405,1847.270411048,19.455740555,1.332945697,45142.735442754,342.186285749,131.924443856,457.212829590,49.721034536,60.117583120,12.310573459,16.535969551,16.827934451,16.244004651,39.356528937,0.967468131,907.920276887,2942,907.920276887,2947,907.920276887,2922,907.920276887,2853,907.920276887,2870
aligned_CoRoT-1a007_out.FIT,7,0,59790.704291088,2459790.704291088,2459790.704270833,2459790.707800012,2459790.708548333,1.071382234,68.936094753,22.209453936,3.500000000,0,0,8.973071447,17,29,44,0.089889907,0.179930727,0.224869269,0.527229545,0.172154451,0.207483521,0.001248977,0.001646386,0.001801961,0.003221012,0.001641955,0.001763077,71.970847996,109.288330982,124.791422345,163.684462928,104.847225032,117.682622483,252981.430091188,779.834709528,1632.017876999,910.104173843,1632.517876999,1622.395826157,19.451803691,1.383077981,22740.477331845,907.920276887,308.093821655,73.810234849,333.835662842,25.046777686,60.352583480,2878,8.315562539,15.356218738,14.067924410,16.644513065,297.721696441,0.913716776,1563.895162769,977.091304981,1564.395162769,1555.408695019,19.452648297,1.390541972,38577.800887698,329.278406836,117.158611336,420.783905029,42.490295536,58.304595057,9.506661806,15.667324686,15.043375388,16.291273984,287.251748855,0.990688033,1169.461717675,1226.934282257,1169.961717675,1305.565717743,19.457196044,1.413142919,46443.935478216,336.897922484,137.857589432,519.756042480,51.154200055,56.042738678,8.012443358,15.766515370,15.447888624,16.085142116,77.889692714,0.998037386,1073.632857146,796.371682021,1074.132857146,1736.128317979,19.457077147,1.345240852,87334.143543671,400.185237441,218.234295953,933.559326172,96.191423153,60.948193101,8.399145238,15.423926810,14.704312852,16.143540768,284.203230645,0.988794915,1286.967126222,453.874125101,1287.467126222,2078.625874899,19.454100357,1.302042389,37155.410082723,332.932918522,111.600289475,401.111968994,40.923648286,61.542620079,11.724173447,16.220721376,16.595648750,15.845794003,338.084216427,0.995897739,1181.864717870,683.875813758,1182.364717870,1848.624186242,19.455719469,1.332476846,43470.140098880,339.448291057,128.061154656,515.748107910,47.878807430,59.884850270,7.880442297,16.318868193,15.952769841,16.684966545,270.162533784,0.997988813,907.920276887,2859,907.920276887,2874,907.920276887,2891,907.920276887,2864,907.920276887,2856
aligned_CoRoT-1a008_out.FIT,8,0,59790.704522569,2459790.704522569,2459790.704502315,2459790.708031512,2459790.708779832,1.071983417,68.852561896,22.209453936,3.500000000,0,0,9.667021020,17,29,44,0.102971175,0.173027065,0.215705116,0.549307130,0.173769505,0.208413921,0.001277700,0.001632651,0.001788214,0.003356808,0.001659711,0.001780513,80.591052490,105.979211204,120.626002502,163.639714817,104.698627476,117.052762323,248701.064323470,772.398016238,1634.556205426,911.680749584,1635.056205426,1620.819250416,19.451793529,1.383453196,25609.040773198,907.920276887,307.650806505,83.240609911,307.749816895,28.206265930,57.483272988,2829,10.954398306,15.855648595,16.191381020,15.519916171,331.195185122,0.993755892,1565.652433677,978.127196064,1566.152433677,1554.372803936,19.452643851,1.390794679,36684.588456806,324.198298015,113.154784221,443.155395508,40.405076735,57.659253058,8.945708891,15.160158040,14.437581169,15.882734911,306.054849278,0.904143875,1170.849663758,1227.207977328,1171.349663758,1305.292022672,19.457191331,1.413211292,44127.553041815,333.529860837,132.304654615,516.909057617,48.602894070,56.082179966,9.544781346,15.969006972,15.751141724,16.186872221,308.916634792,0.983244648,1075.002758431,796.273264739,1075.502758431,1736.226735261,19.457074048,1.345312807,88177.008479534,397.520291840,221.817628659,992.072631836,97.119770011,58.269160227,9.755643051,15.441589534,15.744397347,15.138781720,321.044119260,0.964953163,1289.017677436,453.874368597,1289.517677436,2078.625631403,19.454094733,1.302193465,36818.694549893,330.063742878,111.550254593,426.473510742,40.552783639,60.591513820,10.230245851,16.454681824,16.825645898,16.083717750,354.891207770,0.997903048,1182.623373095,683.960320554,1183.123373095,1848.539679446,19.455724223,1.332566223,42893.219795422,336.582135883,127.437600581,442.011047363,47.243376855,59.122604051,8.571348672,16.012595668,16.150038691,15.875152646,317.365699038,0.956691653,907.920276887,2976,907.920276887,2872,907.920276887,2852,907.920276887,2936,907.920276887,2933
aligned_CoRoT-1a009_out.FIT,9,0,59790.704754051,2459790.704754051,2459790.704733796,2459790.708263012,2459790.709011332,1.072587548,68.769029057,22.209453936,3.500000000,0,0,11.751152643,17,29,44,0.100951668,0.185561033,0.200309528,0.516887751,0.181120450,0.223240414,0.001265270,0.001670087,0.001721657,0.003150527,0.001660958,0.001812054,79.786665238,111.108618200,116.346952401,164.063880302,109.045794055,123.197435606,252763.332617088,776.900697799,1630.995131187,910.536671774,1631.495131187,1621.963328226,19.451822410,1.383119927,25516.879929374,907.920276887,310.047930636,82.299791123,303.406768799,28.104758291,58.950217528,2860,12.870328351,15.858556063,15.356898641,16.360213485,54.139388365,0.959391823,1563.116385320,977.475955418,1563.616385320,1555.024044582,19.452664642,1.390584131,39561.881451043,331.329785916,119.403335084,578.719421387,43.574179868,58.844509829,11.275257435,15.844674771,16.282516443,15.406833098,38.119159756,0.946106748,1168.415689621,1226.921906167,1168.915689621,1305.578093833,19.457214945,1.413103345,42181.539598612,334.225269708,126.206913186,548.882995605,46.459519269,58.167206532,9.917979895,14.727946667,14.470263927,14.985629407,49.430205149,0.948419833,1072.540444706,795.927217355,1073.040444706,1736.572782645,19.457095188,1.345132569,86130.480282614,395.012549980,218.044921072,1111.120483398,94.865686421,58.860960379,11.182710695,15.098840428,15.090873401,15.106807455,45.213589928,0.979964652,1285.869539446,453.698515101,1286.369539446,2078.801484899,19.454118756,1.301966198,38760.321720333,331.901084222,116.782751136,416.881256104,42.691327319,59.766207293,12.189417794,16.097123181,16.679748939,15.514497423,32.900149378,0.968896367,1179.702979252,683.172985936,1180.202979252,1849.327014064,19.455747332,1.332286499,46129.109564485,340.434269639,135.500781438,537.489501953,50.807445035,58.960540180,13.071221686,16.121351397,15.783950299,16.458752496,53.519941365,0.979614381,907.920276887,2906,907.920276887,2886,907.920276887,2965,907.920276887,2892,907.920276887,3012
aligned_CoRoT-1aa009_out.FIT,10,0,59790.705217014,2459790.705217014,2459790.705196759,2459790.708726010,2459790.709474331,1.073804686,68.601963606,22.209453936,3.500000000,0,0,10.490940060,17,29,44,0.094677289,0.179467185,0.213100616,0.557422895,0.157953558,0.216327857,0.001258433,0.001628419,0.001764382,0.003372668,0.001581974,0.001794880,75.234255301,110.209455842,120.779192543,165.276516275,99.845837358,120.524970177,250400.069277038,769.957270415,1632.486808838,912.047989797,1632.986808838,1620.452010203,19.451811151,1.383380174,23707.199604395,907.920276887,306.563841736,77.332014990,332.978668213,26.111543280,58.696751378,2866,12.805059331,15.550054832,16.332325053,14.767784611,328.991642624,0.954251962,1564.378512516,978.576043210,1564.878512516,1553.923956790,19.452653765,1.390759110,38100.759493900,322.125418847,118.279270323,431.227203369,41.964873419,55.063633545,8.805619804,16.210801610,14.996488577,17.425114643,285.823187953,0.969374421,1169.475904481,1228.402131056,1169.975904481,1304.097868944,19.457204452,1.413289278,43986.795716197,332.780753254,132.179506435,481.586395264,48.447861377,55.985478083,11.089829172,15.185271135,14.634353142,15.736189127,296.723043933,0.985196388,1073.999978992,797.044630193,1074.499978992,1735.455369807,19.457081622,1.345348993,89621.599829457,399.178336741,224.515189279,947.578125000,98.710869347,58.519042613,10.193364733,15.757168743,15.466759215,16.047578272,304.364337859,0.989683510,1287.630973015,454.000420024,1288.130973015,2078.499579976,19.454105347,1.302142433,34156.449218485,323.808617654,105.483447185,375.380249023,37.620537935,59.380771489,9.895746713,15.929575686,15.250510984,16.608640388,274.703590308,0.992558556,1182.052634828,684.191236366,1182.552634828,1848.308763634,19.455726382,1.332541984,44534.465019000,337.832825036,131.823972446,484.462463379,49.051074365,58.342477890,10.156020606,16.497560846,15.934761567,17.060360125,89.483841725,0.995354223,907.920276887,2915,907.920276887,2916,907.920276887,2925,907.920276887,2934,907.920276887,2910
aligned_CoRoT-2a002_out.FIT,11,0,59790.706999421,2459790.706999421,2459790.706979167,2459790.710508557,2459790.711256878,1.078602184,67.958762081,22.209453936,3.500000000,0,0,10.638256546,17,29,44,0.098764796,0.176196904,0.216285226,0.514918788,0.185690491,0.213393679,0.001285349,0.001648193,0.001813321,0.003205753,0.001721879,0.001800692,76.838865038,106.903051760,119.275738731,160.623350917,107.841765733,118.506490701,242726.316320382,759.731569922,1631.528267789,912.644185549,1632.028267789,1619.855814451,19.451816488,1.383605032,23972.815173802,907.920276887,302.830634246,79.162450766,292.250122070,26.404097126,57.025944307,2964,14.354717817,16.217770326,14.239027574,18.196513079,272.934380399,0.941576737,1564.235742211,979.714071186,1564.735742211,1552.785928814,19.452652821,1.391086125,36360.940264590,317.650523255,114.468378304,417.425079346,40.048604696,54.269227576,9.558050120,15.528939796,15.150950709,15.906928883,70.803754886,0.996146656,1169.335066528,1229.476847999,1169.835066528,1303.023152001,19.457204913,1.413510741,43162.668565820,330.231492476,130.704277300,477.890014648,47.540152659,55.378877543,8.972761458,15.990860648,15.153183998,16.828537298,271.234452817,0.989063068,1073.645410103,798.860436120,1074.145410103,1733.639563880,19.457086377,1.345764187,82502.337209733,388.277785452,212.482764405,866.412597656,90.869583277,57.325239361,8.447357603,15.480517992,14.430306119,16.530729866,73.633546020,0.974221624,1286.963987543,455.453924371,1287.463987543,2077.046075629,19.454109573,1.302574790,38013.266768732,328.746673340,115.630878885,365.193664551,41.868507331,58.469199159,11.272070488,17.276811041,16.132909959,18.420712123,74.134671355,0.975971244,1180.908148083,685.981910643,1181.408148083,1846.518089357,19.455737874,1.332962406,42687.103511507,329.246641413,129.650839651,505.050872803,47.016356610,55.263443555,11.224581789,15.702691212,14.786041590,16.619340833,64.478846187,0.965753774,907.920276887,2949,907.920276887,2943,907.920276887,2933,907.920276887,2856,907.920276887,2950
aligned_CoRoT-2a003_out.FIT,12,0,59790.707404514,2459790.707404514,2459790.707384259,2459790.710913681,2459790.711662002,1.079717463,67.812580055,22.209453936,3.500000000,0,0,11.705127525,17,29,44,0.094909531,0.171604402,0.218868617,0.565113321,0.175676245,0.195413053,0.001229056,0.001589192,0.001767211,0.003351285,0.001610414,0.001695766,77.221503973,107.982176554,123.849718339,168.625881787,109.087660985,115.235837397,253834.182617842,768.655867598,1633.095814901,914.789788576,1633.595814901,1617.710211424,19.451810487,1.383818774,24091.283129248,907.920276887,303.326784341,79.423527275,284.647155762,26.534579899,57.070227798,2940,14.087617664,15.711407082,15.517158534,15.905655630,48.793784267,0.964941535,1564.282297569,981.492810557,1564.782297569,1551.007189443,19.452661334,1.391192368,37178.985622311,322.826941570,115.166923310,361.137023926,40.949614816,56.046379098,12.218447940,16.014657071,15.904486406,16.124827735,46.701528795,0.946280377,1169.843805060,1230.998377920,1170.343805060,1301.501622080,19.457209279,1.413611963,45580.250240915,335.459301077,135.874158488,510.013183594,50.202921337,56.200706978,10.511078531,16.265103548,16.493328019,16.036879077,38.935497381,0.982168342,1073.945504231,799.868551130,1074.445504231,1732.631448870,19.457089328,1.345637115,91651.560265473,395.988565439,231.450017158,930.492614746,100.946704902,54.698643453,9.835437648,16.610464212,16.815078848,16.405849577,41.579925424,0.957222403,1287.235340003,456.758478126,1287.735340003,2075.741521874,19.454111759,1.302421980,37929.350220395,325.464837688,116.539010757,322.871154785,41.776080110,57.207983845,12.318435850,17.231819172,17.638369014,16.825269330,38.081698923,0.961114524,1181.451510656,687.328200154,1181.951510656,1845.171799846,19.455738633,1.332878164,41494.036268748,333.687520564,124.349979282,426.233337402,45.702290526,58.620124206,11.259747515,16.396428919,17.479503749,15.313354088,29.744377366,0.932877274,907.920276887,2878,907.920276887,2927,907.920276887,2929,907.920276887,2955,907.920276887,2923
aligned_CoRoT-2a004_out.FIT,13,0,59790.707809606,2459790.707809606,2459790.707789352,2459790.711318805,2459790.712067126,1.080842068,67.666398266,22.209453936,3.500000000,0,0,12.271719849,17,29,44,0.090549228,0.155572369,0.188563402,0.499473483,0.280698927,0.182659736,0.001192536,0.001500768,0.001622832,0.002936473,0.001810748,0.001610287,75.929973140,103.661807370,116.194025933,170.093021010,155.018210678,113.433059880,260379.667602427,758.814183083,1634.569503470,909.186368599,1635.069503470,1623.313631401,19.451788262,1.383158387,23577.177964250,907.920276887,302.814655684,77.860095348,297.280426025,25.968335067,56.999123263,2888,13.926887053,15.556822465,14.469225623,16.644419306,287.361330449,0.971340985,1566.476535194,975.735464195,1566.976535194,1556.764535805,19.452628638,1.390519863,35054.387600994,320.792194838,109.274440479,332.534149170,38.609543694,57.257120411,10.726529315,17.293241742,17.692889594,16.893593890,319.618567117,0.917180039,1171.041886969,1225.113693199,1171.541886969,1307.386306801,19.457174330,1.412886134,41308.756236732,331.395265019,124.651015259,355.680419922,45.498219710,56.921274491,12.171291988,17.237608007,16.657854560,17.817361453,308.799592734,0.902107925,1075.377572271,794.442570870,1075.877572271,1738.057429130,19.457054101,1.345068587,86732.270364270,393.752399349,220.271090430,700.313293457,95.528509025,57.368453368,11.033397145,17.147625998,16.986142891,17.309109105,312.778502924,0.940899166,1289.040949029,451.039547788,1289.540949029,2081.460452212,19.454084517,1.301901917,57069.067391825,312.847511928,182.418159698,326.732971191,62.856914692,34.470978410,14.348471390,20.250950426,20.376858425,20.125042428,319.703744179,0.994213095,1182.696732135,681.635225973,1183.196732135,1850.864774027,19.455709420,1.332272722,40215.186008607,331.894550708,121.168563698,370.804687500,44.293741458,58.663323584,11.423742206,16.962647859,16.576146519,17.349149199,306.875318512,0.973504536,907.920276887,2993,907.920276887,2804,907.920276887,2933,907.920276887,3020,907.920276887,2917
